region,tech,mw,entry_year,p_cod_3y_mean,p_cod_3y_lo90,p_cod_3y_hi90,p_cod_5y_mean,p_cod_5y_lo90,p_cod_5y_hi90,p_cod_7y_mean,p_cod_7y_lo90,p_cod_7y_hi90,p_withdrawn_5y_mean
Southeast,Battery,100,2021,0.0447,0.025,0.0694,0.0993,0.0736,0.1246,0.1386,0.1112,0.1635,0.5487
Southeast,Battery,100,2022,0.035,0.0188,0.05,0.0821,0.0563,0.1026,0.1189,0.0888,0.1392,0.564
Southeast,Battery,100,2023,0.0322,0.015,0.0454,0.0735,0.0472,0.099,0.1087,0.0751,0.1338,0.5653
Southeast,Battery,100,2024,0.0318,0.0139,0.0507,0.0696,0.0414,0.1004,0.1049,0.0706,0.1338,0.5475
Southeast,Battery,100,2025,0.0302,0.0087,0.0508,0.0639,0.0359,0.0952,0.0983,0.0621,0.1324,0.5645
Southeast,Battery,200,2020,0.038,0.0189,0.0702,0.0951,0.0667,0.1236,0.1405,0.1133,0.1635,0.549
Southeast,Battery,200,2021,0.0289,0.0144,0.045,0.0785,0.0506,0.1009,0.1224,0.096,0.1476,0.5628
Southeast,Battery,200,2022,0.0219,0.0117,0.0315,0.0644,0.0419,0.0852,0.1061,0.0772,0.1274,0.5768
Southeast,Battery,200,2023,0.0195,0.0097,0.0268,0.0563,0.0352,0.0746,0.0953,0.0643,0.1168,0.5844
Southeast,Battery,200,2024,0.0204,0.0087,0.0304,0.0555,0.0359,0.0747,0.0946,0.067,0.1142,0.5688
Southeast,Battery,200,2025,0.0226,0.0067,0.0417,0.0554,0.0335,0.0806,0.0927,0.0626,0.1218,0.5785
Southeast,Battery,400,2020,0.0321,0.0169,0.056,0.0865,0.0622,0.1039,0.1343,0.1081,0.157,0.5496
Southeast,Battery,400,2021,0.0248,0.014,0.0367,0.0727,0.0508,0.0917,0.1194,0.0972,0.1454,0.5611
Southeast,Battery,400,2022,0.0194,0.0114,0.0272,0.0609,0.0412,0.0805,0.1058,0.0796,0.1276,0.5728
Southeast,Battery,400,2023,0.0172,0.0102,0.0254,0.0532,0.0342,0.0678,0.0955,0.0656,0.1175,0.5791
Southeast,Battery,400,2024,0.0177,0.0087,0.0272,0.0515,0.0352,0.064,0.0932,0.0676,0.1104,0.5679
Southeast,Battery,400,2025,0.0193,0.0065,0.0379,0.0513,0.035,0.0725,0.0914,0.0663,0.1185,0.575
Southeast,Battery,800,2020,0.0274,0.0137,0.0473,0.0798,0.0528,0.0973,0.1304,0.0992,0.1543,0.5448
Southeast,Battery,800,2021,0.0232,0.0133,0.0362,0.0702,0.0498,0.0853,0.1191,0.0946,0.1423,0.5543
Southeast,Battery,800,2022,0.0191,0.0125,0.0279,0.0602,0.0461,0.0734,0.1075,0.0835,0.1295,0.5626
Southeast,Battery,800,2023,0.0166,0.0107,0.0263,0.0528,0.0368,0.0658,0.0978,0.0705,0.1193,0.5661
Southeast,Battery,800,2024,0.017,0.0087,0.0271,0.0504,0.0369,0.0603,0.0947,0.0701,0.1111,0.5605
Southeast,Battery,800,2025,0.018,0.0065,0.0354,0.0496,0.0365,0.067,0.0927,0.0705,0.1166,0.5642
Southeast,Hybrid,50,2020,0.0172,0.0081,0.0321,0.0606,0.0419,0.0803,0.1025,0.0768,0.1266,0.5791
Southeast,Hybrid,50,2021,0.0137,0.0064,0.0265,0.0516,0.0349,0.0677,0.0911,0.0724,0.1136,0.5919
Southeast,Hybrid,50,2022,0.0113,0.0054,0.0208,0.0434,0.0294,0.0554,0.0803,0.064,0.0977,0.6032
Southeast,Hybrid,50,2023,0.0103,0.0045,0.0187,0.0383,0.0251,0.0517,0.072,0.0541,0.0928,0.6074
Southeast,Hybrid,50,2024,0.0129,0.0048,0.0216,0.0403,0.0261,0.0548,0.0731,0.0523,0.0939,0.6028
Southeast,Hybrid,50,2025,0.0149,0.0041,0.0287,0.0414,0.0265,0.0621,0.0727,0.0494,0.1008,0.6141
Southeast,Hybrid,100,2020,0.0096,0.0048,0.0181,0.0475,0.0349,0.0646,0.0932,0.0776,0.1121,0.5865
Southeast,Hybrid,100,2021,0.0078,0.0037,0.0152,0.0417,0.0293,0.0563,0.0856,0.068,0.1057,0.5943
Southeast,Hybrid,100,2022,0.0071,0.0034,0.013,0.038,0.0253,0.0512,0.0801,0.0619,0.0977,0.601
Southeast,Hybrid,100,2023,0.007,0.0034,0.0119,0.0352,0.0239,0.0472,0.0744,0.0562,0.0922,0.6034
Southeast,Hybrid,100,2024,0.0094,0.004,0.0183,0.0371,0.0251,0.0529,0.0742,0.0485,0.0962,0.5982
Southeast,Hybrid,100,2025,0.0119,0.0034,0.0259,0.0384,0.0261,0.0598,0.0733,0.0485,0.1028,0.6108
Southeast,Hybrid,200,2020,0.0078,0.0038,0.0137,0.0439,0.0315,0.0602,0.0922,0.075,0.1157,0.5817
Southeast,Hybrid,200,2021,0.0062,0.0032,0.0118,0.0387,0.0256,0.0535,0.0856,0.0635,0.1079,0.5912
Southeast,Hybrid,200,2022,0.0056,0.0028,0.0112,0.0355,0.021,0.0509,0.081,0.0555,0.099,0.5948
Southeast,Hybrid,200,2023,0.0061,0.0027,0.0113,0.0341,0.0214,0.0501,0.0777,0.0553,0.0987,0.5951
Southeast,Hybrid,200,2024,0.0082,0.0032,0.0163,0.0361,0.0245,0.0521,0.0781,0.0526,0.1009,0.5881
Southeast,Hybrid,200,2025,0.0108,0.0029,0.0262,0.0373,0.0235,0.0621,0.0752,0.0491,0.1076,0.6018
Southeast,Hybrid,400,2020,0.0076,0.0033,0.0143,0.0427,0.0306,0.0607,0.0924,0.0727,0.1175,0.5699
Southeast,Hybrid,400,2021,0.0064,0.0031,0.0128,0.0383,0.0261,0.0548,0.0867,0.0654,0.1097,0.5806
Southeast,Hybrid,400,2022,0.0057,0.0029,0.0121,0.0355,0.0214,0.0527,0.0832,0.0575,0.1029,0.5844
Southeast,Hybrid,400,2023,0.0063,0.0026,0.0131,0.0348,0.0201,0.0531,0.0821,0.0552,0.1037,0.5841
Southeast,Hybrid,400,2024,0.008,0.0029,0.0177,0.0362,0.0242,0.0524,0.0828,0.0568,0.1055,0.5761
Southeast,Hybrid,400,2025,0.0103,0.0026,0.0258,0.0369,0.0231,0.0601,0.0787,0.0518,0.1091,0.5901
Southeast,Hybrid,800,2020,0.0078,0.003,0.0152,0.0432,0.0305,0.0642,0.0953,0.0727,0.1211,0.5513
Southeast,Hybrid,800,2021,0.0067,0.0027,0.0131,0.0388,0.0274,0.0553,0.0895,0.067,0.1108,0.5641
Southeast,Hybrid,800,2022,0.006,0.0027,0.0124,0.0357,0.0248,0.0518,0.0857,0.0643,0.1051,0.5694
Southeast,Hybrid,800,2023,0.0065,0.0029,0.0138,0.0352,0.0229,0.051,0.0855,0.0615,0.103,0.5673
Southeast,Hybrid,800,2024,0.0079,0.0027,0.016,0.0366,0.0247,0.0502,0.0869,0.0643,0.104,0.5594
Southeast,Hybrid,800,2025,0.0103,0.0028,0.0256,0.0378,0.0249,0.0591,0.0834,0.0574,0.1121,0.5756
Southeast,Gas,50,2020,0.1554,0.1255,0.1827,0.2194,0.1796,0.2555,0.2475,0.2009,0.294,0.2614
Southeast,Gas,50,2021,0.1419,0.1153,0.1639,0.1989,0.1636,0.2285,0.2248,0.1813,0.2623,0.2219
Southeast,Gas,50,2022,0.1298,0.1093,0.1529,0.1802,0.1482,0.2051,0.2041,0.1647,0.24,0.1955
Southeast,Gas,50,2023,0.1215,0.1009,0.1499,0.1677,0.1354,0.2109,0.1901,0.1466,0.2503,0.1818
Southeast,Gas,50,2024,0.1206,0.0895,0.1502,0.1673,0.1167,0.2158,0.1905,0.1258,0.257,0.1916
Southeast,Gas,50,2025,0.1127,0.0648,0.1578,0.1585,0.0922,0.2211,0.1836,0.1056,0.2548,0.2537
Southeast,Gas,100,2020,0.1579,0.1339,0.1837,0.2299,0.1972,0.2644,0.2619,0.22,0.3051,0.3318
Southeast,Gas,100,2021,0.1526,0.128,0.177,0.2191,0.1848,0.2545,0.2492,0.2064,0.2925,0.2945
Southeast,Gas,100,2022,0.1482,0.1225,0.1677,0.2094,0.1748,0.2402,0.2376,0.1954,0.274,0.2676
Southeast,Gas,100,2023,0.1442,0.1221,0.1624,0.2015,0.1677,0.224,0.2283,0.188,0.2634,0.2534
Southeast,Gas,100,2024,0.1403,0.1215,0.1625,0.196,0.1721,0.2238,0.2234,0.1915,0.2591,0.2578
Southeast,Gas,100,2025,0.1205,0.0823,0.1601,0.1722,0.1302,0.2237,0.2009,0.1491,0.2579,0.3056
Southeast,Gas,200,2020,0.1532,0.1325,0.1744,0.2279,0.2038,0.258,0.2627,0.231,0.2916,0.4074
Southeast,Gas,200,2021,0.1536,0.1334,0.1739,0.2235,0.1962,0.2535,0.2562,0.2219,0.2841,0.376
Southeast,Gas,200,2022,0.1518,0.1293,0.1691,0.2167,0.1896,0.2417,0.2478,0.2142,0.2716,0.3392
Southeast,Gas,200,2023,0.1492,0.1252,0.1648,0.2109,0.1855,0.2332,0.2409,0.2092,0.2665,0.3117
Southeast,Gas,200,2024,0.1449,0.1274,0.1625,0.2044,0.183,0.2267,0.2351,0.2064,0.2612,0.3074
Southeast,Gas,200,2025,0.1231,0.0784,0.1589,0.1772,0.1352,0.222,0.2091,0.1703,0.2541,0.3371
Southeast,Gas,400,2020,0.1364,0.1163,0.1687,0.2103,0.1848,0.2459,0.2498,0.2158,0.2814,0.456
Southeast,Gas,400,2021,0.1435,0.1239,0.1692,0.2129,0.1818,0.2431,0.2491,0.2103,0.2832,0.4334
Southeast,Gas,400,2022,0.1479,0.1246,0.1701,0.2124,0.1772,0.2407,0.2462,0.2039,0.2755,0.4006
Southeast,Gas,400,2023,0.1475,0.1235,0.1627,0.2086,0.1796,0.2287,0.2417,0.2063,0.2649,0.3653
Southeast,Gas,400,2024,0.1411,0.1266,0.1577,0.2007,0.1755,0.2204,0.2351,0.2013,0.2555,0.3456
Southeast,Gas,400,2025,0.1204,0.0744,0.1525,0.1751,0.1268,0.2139,0.21,0.1674,0.2481,0.3537
Southeast,Gas,800,2020,0.113,0.0902,0.1413,0.1872,0.1648,0.2182,0.2325,0.1998,0.2696,0.4751
Southeast,Gas,800,2021,0.1258,0.1096,0.1508,0.1942,0.1684,0.2246,0.2356,0.2012,0.2728,0.4549
Southeast,Gas,800,2022,0.1352,0.1183,0.1563,0.1985,0.1704,0.2291,0.2367,0.2011,0.2745,0.4284
Southeast,Gas,800,2023,0.1396,0.1228,0.159,0.1992,0.174,0.2267,0.2359,0.2039,0.2695,0.3955
Southeast,Gas,800,2024,0.1325,0.1159,0.1508,0.1902,0.168,0.2119,0.2275,0.1957,0.2531,0.3713
Southeast,Gas,800,2025,0.1121,0.0646,0.136,0.1659,0.114,0.1929,0.2034,0.1563,0.2286,0.3663
West,Solar,50,2020,0.0842,0.0671,0.1006,0.1465,0.1256,0.1654,0.1926,0.164,0.2118,0.4256
West,Solar,50,2021,0.1001,0.0809,0.1139,0.1605,0.131,0.1795,0.2058,0.1722,0.2316,0.3712
West,Solar,50,2022,0.098,0.0781,0.1161,0.1539,0.1219,0.1836,0.1972,0.1602,0.2323,0.3334
West,Solar,50,2023,0.0806,0.0568,0.1039,0.1297,0.0954,0.1729,0.1701,0.1351,0.2218,0.3428
West,Solar,50,2024,0.0571,0.0323,0.0841,0.0978,0.0638,0.1467,0.1345,0.088,0.1959,0.3903
West,Solar,50,2025,0.0347,0.0171,0.0557,0.0642,0.0339,0.0972,0.0957,0.0497,0.1453,0.4539
West,Solar,100,2020,0.0658,0.0444,0.0869,0.1261,0.0979,0.1588,0.1721,0.1374,0.2108,0.4181
West,Solar,100,2021,0.0833,0.0561,0.1036,0.141,0.1,0.1808,0.1861,0.1442,0.2317,0.3547
West,Solar,100,2022,0.0831,0.0531,0.1059,0.137,0.0928,0.1825,0.182,0.1359,0.2352,0.3077
West,Solar,100,2023,0.0697,0.043,0.0937,0.1182,0.0804,0.1673,0.1621,0.1203,0.2231,0.3146
West,Solar,100,2024,0.0495,0.0275,0.0794,0.09,0.0575,0.1423,0.1299,0.092,0.1997,0.3601
West,Solar,100,2025,0.0311,0.0153,0.0558,0.061,0.0293,0.1003,0.095,0.0525,0.1577,0.4265
West,Solar,200,2020,0.0389,0.0277,0.0512,0.0898,0.0737,0.1117,0.137,0.1175,0.1681,0.4263
West,Solar,200,2021,0.0516,0.0344,0.0665,0.1007,0.072,0.1263,0.1485,0.1196,0.1865,0.3657
West,Solar,200,2022,0.0595,0.0335,0.0838,0.1073,0.067,0.142,0.1561,0.1121,0.2026,0.3122
West,Solar,200,2023,0.0552,0.027,0.0787,0.0996,0.059,0.1381,0.1479,0.1011,0.2079,0.3104
West,Solar,200,2024,0.0427,0.0192,0.0687,0.081,0.0466,0.1282,0.1247,0.0835,0.1977,0.3418
West,Solar,200,2025,0.0282,0.0127,0.0523,0.058,0.0257,0.1015,0.095,0.0495,0.1689,0.3996
West,Solar,400,2020,0.0212,0.013,0.0323,0.0631,0.0533,0.0778,0.1116,0.0994,0.1377,0.4269
West,Solar,400,2021,0.0278,0.0155,0.042,0.0683,0.0509,0.0857,0.1188,0.1017,0.149,0.3781
West,Solar,400,2022,0.0367,0.0183,0.0657,0.0777,0.0504,0.1078,0.1297,0.0976,0.1704,0.3285
West,Solar,400,2023,0.0391,0.0162,0.0624,0.0787,0.0466,0.1075,0.1299,0.0902,0.1806,0.3144
West,Solar,400,2024,0.0348,0.0132,0.0565,0.0704,0.0392,0.1055,0.1171,0.0782,0.1848,0.3333
West,Solar,400,2025,0.0246,0.0094,0.0436,0.0533,0.0235,0.0912,0.0931,0.0485,0.167,0.3818
West,Solar,800,2020,0.0133,0.0065,0.0231,0.0486,0.0363,0.0616,0.0975,0.082,0.126,0.4183
West,Solar,800,2021,0.0168,0.008,0.0278,0.051,0.0364,0.0678,0.1022,0.0889,0.1337,0.3779
West,Solar,800,2022,0.0243,0.0096,0.0519,0.0601,0.0394,0.088,0.1134,0.0889,0.1553,0.3362
West,Solar,800,2023,0.0278,0.0103,0.0565,0.0633,0.0376,0.0953,0.1166,0.0828,0.1613,0.3186
West,Solar,800,2024,0.0252,0.0082,0.0456,0.0576,0.0323,0.0788,0.107,0.0737,0.1606,0.3265
West,Solar,800,2025,0.0204,0.0063,0.0337,0.0475,0.0221,0.0714,0.0896,0.0504,0.1543,0.3648
West,Wind,50,2020,0.1238,0.097,0.1533,0.1626,0.1306,0.1993,0.1901,0.1524,0.2316,0.3083
West,Wind,50,2021,0.1016,0.075,0.1333,0.1376,0.106,0.1749,0.1638,0.1269,0.2038,0.2275
West,Wind,50,2022,0.0758,0.0571,0.099,0.1078,0.0875,0.1362,0.1325,0.1092,0.1626,0.181
West,Wind,50,2023,0.0562,0.0365,0.0717,0.0847,0.0661,0.1108,0.1079,0.0884,0.1359,0.1885
West,Wind,50,2024,0.0403,0.0212,0.05,0.0639,0.0467,0.0783,0.0862,0.063,0.1043,0.2261
West,Wind,50,2025,0.0276,0.012,0.0398,0.0459,0.0294,0.0593,0.0669,0.0425,0.0867,0.2844
West,Wind,100,2020,0.0942,0.0782,0.1102,0.1408,0.1181,0.1642,0.173,0.1452,0.1999,0.3204
West,Wind,100,2021,0.0824,0.0612,0.1034,0.1248,0.0972,0.1509,0.1558,0.1239,0.1833,0.2408
West,Wind,100,2022,0.0638,0.0471,0.0818,0.1009,0.0838,0.1268,0.1296,0.1091,0.1566,0.1938
West,Wind,100,2023,0.0487,0.0314,0.0611,0.0802,0.0641,0.1011,0.1073,0.0862,0.1302,0.203
West,Wind,100,2024,0.0358,0.0198,0.0477,0.0617,0.0442,0.0798,0.0873,0.0629,0.1068,0.2412
West,Wind,100,2025,0.0241,0.0117,0.0357,0.0441,0.026,0.0627,0.0682,0.0415,0.0873,0.3005
West,Wind,200,2020,0.0508,0.0305,0.0671,0.0958,0.0685,0.113,0.135,0.1065,0.157,0.3659
West,Wind,200,2021,0.0567,0.0353,0.0766,0.0992,0.0733,0.1214,0.1364,0.1107,0.1574,0.2823
West,Wind,200,2022,0.0505,0.0339,0.0686,0.089,0.0688,0.106,0.124,0.1096,0.1398,0.2219
West,Wind,200,2023,0.0409,0.0242,0.0554,0.0738,0.0552,0.0927,0.1061,0.0841,0.125,0.217
West,Wind,200,2024,0.0307,0.0165,0.0451,0.0576,0.0384,0.0788,0.0876,0.0616,0.1105,0.2445
West,Wind,200,2025,0.0206,0.0103,0.0325,0.0412,0.0225,0.0601,0.0683,0.0391,0.0937,0.2957
West,Wind,400,2020,0.0224,0.0102,0.0356,0.0594,0.0428,0.0724,0.104,0.0858,0.1194,0.3934
West,Wind,400,2021,0.0283,0.0141,0.0449,0.0652,0.0485,0.0816,0.1102,0.0932,0.1254,0.3348
West,Wind,400,2022,0.0343,0.0174,0.0575,0.0712,0.0525,0.0927,0.1151,0.0992,0.1321,0.2691
West,Wind,400,2023,0.0322,0.015,0.0507,0.0654,0.0467,0.0881,0.1058,0.0832,0.1329,0.2427
West,Wind,400,2024,0.0254,0.0118,0.0418,0.0526,0.0323,0.0765,0.0882,0.0574,0.1227,0.2511
West,Wind,400,2025,0.0179,0.0082,0.0308,0.0391,0.0187,0.0599,0.0698,0.0358,0.106,0.2886
West,Wind,800,2020,0.0108,0.0038,0.0192,0.0404,0.0282,0.0532,0.0857,0.0632,0.1117,0.3839
West,Wind,800,2021,0.0138,0.0056,0.0258,0.0443,0.0344,0.0569,0.0918,0.076,0.1187,0.3482
West,Wind,800,2022,0.0202,0.009,0.0408,0.0527,0.0372,0.072,0.102,0.0845,0.1298,0.3014
West,Wind,800,2023,0.0228,0.0088,0.0449,0.0545,0.0339,0.0741,0.1009,0.0769,0.1317,0.2671
West,Wind,800,2024,0.0196,0.0073,0.0345,0.047,0.027,0.0664,0.0881,0.0557,0.1295,0.2594
West,Wind,800,2025,0.0147,0.0058,0.0267,0.0364,0.0155,0.0548,0.0708,0.0336,0.1154,0.2812
West,Battery,50,2020,0.0625,0.0508,0.0907,0.1056,0.0884,0.138,0.1421,0.1211,0.1767,0.4085
West,Battery,50,2021,0.0671,0.0528,0.0938,0.1099,0.0901,0.1401,0.1471,0.1197,0.1829,0.3345
West,Battery,50,2022,0.0677,0.0504,0.0924,0.1088,0.0852,0.1376,0.1456,0.1194,0.1794,0.2823
West,Battery,50,2023,0.059,0.0303,0.0851,0.0966,0.0614,0.135,0.1326,0.1039,0.1787,0.2793
West,Battery,50,2024,0.0449,0.0176,0.0772,0.0772,0.0422,0.1285,0.1119,0.0707,0.1753,0.3193
West,Battery,50,2025,0.0296,0.009,0.058,0.0552,0.0231,0.1044,0.0861,0.0418,0.1519,0.3744
West,Battery,100,2020,0.0328,0.0231,0.0497,0.076,0.0583,0.093,0.1167,0.0919,0.1394,0.3979
West,Battery,100,2021,0.0385,0.0279,0.0535,0.0802,0.0622,0.1027,0.1209,0.0944,0.1537,0.3335
West,Battery,100,2022,0.0467,0.0328,0.0686,0.0883,0.0665,0.1164,0.1301,0.1019,0.17,0.2824
West,Battery,100,2023,0.0465,0.0233,0.0698,0.0847,0.0542,0.1216,0.1257,0.0998,0.176,0.2739
West,Battery,100,2024,0.0371,0.0149,0.0625,0.0699,0.0392,0.1158,0.1085,0.073,0.1734,0.3063
West,Battery,100,2025,0.0258,0.0078,0.0501,0.0519,0.0214,0.1005,0.0863,0.0439,0.1622,0.3606
West,Battery,200,2020,0.0173,0.0083,0.0277,0.0565,0.0384,0.0806,0.0998,0.0721,0.1394,0.3739
West,Battery,200,2021,0.0208,0.0123,0.0318,0.0585,0.0406,0.0885,0.1022,0.0732,0.152,0.3258
West,Battery,200,2022,0.0283,0.0175,0.0448,0.0667,0.048,0.096,0.112,0.0851,0.1627,0.2875
West,Battery,200,2023,0.0336,0.0172,0.0511,0.0709,0.0453,0.1041,0.1162,0.0901,0.1728,0.2727
West,Battery,200,2024,0.0301,0.0129,0.052,0.0626,0.0352,0.103,0.1045,0.0736,0.1718,0.2939
West,Battery,200,2025,0.0221,0.0073,0.0425,0.0481,0.02,0.0927,0.0844,0.0443,0.1608,0.3413
West,Battery,400,2020,0.01,0.0047,0.016,0.0445,0.031,0.0657,0.0873,0.0653,0.1324,0.3402
West,Battery,400,2021,0.0113,0.0058,0.0183,0.044,0.0315,0.0684,0.0875,0.0609,0.1376,0.3079
West,Battery,400,2022,0.0167,0.0094,0.0293,0.0512,0.0358,0.0788,0.0973,0.0741,0.1442,0.2852
West,Battery,400,2023,0.0225,0.0111,0.0373,0.0573,0.0348,0.0796,0.1047,0.0778,0.1553,0.2704
West,Battery,400,2024,0.0222,0.01,0.0338,0.0538,0.0299,0.0834,0.0977,0.0695,0.1587,0.2777
West,Battery,400,2025,0.0188,0.007,0.0347,0.0448,0.0199,0.0822,0.0828,0.0476,0.1546,0.3208
West,Battery,800,2020,0.0067,0.003,0.0109,0.0374,0.0237,0.0596,0.0792,0.0512,0.1297,0.3096
West,Battery,800,2021,0.0073,0.0034,0.0143,0.0369,0.0235,0.0611,0.0796,0.0498,0.1329,0.2865
West,Battery,800,2022,0.0101,0.0052,0.022,0.0412,0.0286,0.0689,0.0867,0.0627,0.1466,0.2719
West,Battery,800,2023,0.0146,0.0067,0.0288,0.0466,0.027,0.0706,0.0936,0.0662,0.1546,0.2628
West,Battery,800,2024,0.016,0.0068,0.0292,0.046,0.0242,0.0663,0.0906,0.0615,0.1473,0.2645
West,Battery,800,2025,0.014,0.0051,0.0239,0.0395,0.0172,0.0655,0.0791,0.0469,0.1421,0.2898
West,Hybrid,50,2020,0.0398,0.0252,0.0582,0.0845,0.0611,0.1062,0.1229,0.0934,0.1513,0.4156
West,Hybrid,50,2021,0.0459,0.0276,0.0703,0.0921,0.0699,0.1184,0.1326,0.106,0.1643,0.35
West,Hybrid,50,2022,0.0475,0.0252,0.0701,0.093,0.0705,0.1249,0.1346,0.1139,0.1673,0.2993
West,Hybrid,50,2023,0.0438,0.0168,0.0742,0.0836,0.0569,0.1277,0.1235,0.0919,0.167,0.3013
West,Hybrid,50,2024,0.0338,0.0114,0.0663,0.0653,0.0403,0.1106,0.1025,0.0625,0.1442,0.3365
West,Hybrid,50,2025,0.0224,0.0066,0.0487,0.0458,0.0198,0.0833,0.0782,0.0367,0.1204,0.3873
West,Hybrid,100,2020,0.0229,0.0164,0.0342,0.0681,0.0561,0.0822,0.1121,0.0904,0.1406,0.4085
West,Hybrid,100,2021,0.0276,0.0183,0.0423,0.0726,0.0586,0.0881,0.118,0.0977,0.1468,0.3496
West,Hybrid,100,2022,0.0321,0.0181,0.0513,0.0771,0.0588,0.0978,0.1238,0.1032,0.1449,0.3035
West,Hybrid,100,2023,0.0328,0.0163,0.0592,0.0734,0.0503,0.1076,0.118,0.0891,0.1566,0.298
West,Hybrid,100,2024,0.0275,0.0118,0.053,0.0598,0.0311,0.0968,0.0999,0.0582,0.1472,0.3237
West,Hybrid,100,2025,0.0197,0.0065,0.0444,0.0442,0.0162,0.0797,0.0789,0.0335,0.1277,0.3674
West,Hybrid,200,2020,0.0132,0.0087,0.018,0.0555,0.0456,0.0682,0.1041,0.09,0.1357,0.393
West,Hybrid,200,2021,0.0148,0.0107,0.0202,0.0549,0.0428,0.0674,0.104,0.0881,0.137,0.3406
West,Hybrid,200,2022,0.0195,0.012,0.0346,0.0601,0.0433,0.0775,0.1104,0.0894,0.1409,0.302
West,Hybrid,200,2023,0.0231,0.011,0.0446,0.0611,0.0392,0.0849,0.1092,0.0832,0.1492,0.292
West,Hybrid,200,2024,0.0212,0.0088,0.0422,0.0529,0.026,0.079,0.0956,0.0565,0.1413,0.3078
West,Hybrid,200,2025,0.0169,0.0058,0.0348,0.0415,0.0149,0.0677,0.0779,0.0343,0.1261,0.3446
West,Hybrid,400,2020,0.0081,0.0052,0.013,0.0455,0.0363,0.0634,0.0955,0.0765,0.1293,0.3617
West,Hybrid,400,2021,0.0089,0.0061,0.0146,0.0444,0.0337,0.0627,0.0947,0.0729,0.1322,0.3168
West,Hybrid,400,2022,0.0122,0.0078,0.0245,0.0484,0.0339,0.0663,0.1002,0.0789,0.1365,0.2883
West,Hybrid,400,2023,0.0162,0.0078,0.0336,0.051,0.0321,0.0697,0.1009,0.0749,0.143,0.2815
West,Hybrid,400,2024,0.0165,0.0067,0.0338,0.0468,0.0237,0.0669,0.0918,0.0586,0.1424,0.2924
West,Hybrid,400,2025,0.0135,0.0046,0.0284,0.0379,0.0138,0.058,0.0764,0.0357,0.1315,0.322
West,Hybrid,800,2020,0.0054,0.003,0.0094,0.039,0.0275,0.0572,0.0894,0.0657,0.1258,0.3245
West,Hybrid,800,2021,0.0058,0.0033,0.0114,0.038,0.0252,0.0576,0.0882,0.0615,0.1307,0.2886
West,Hybrid,800,2022,0.0078,0.0043,0.0171,0.0404,0.0274,0.0596,0.0918,0.0689,0.1368,0.2683
West,Hybrid,800,2023,0.0111,0.0044,0.0255,0.0429,0.0257,0.0589,0.0938,0.0665,0.1364,0.2666
West,Hybrid,800,2024,0.0127,0.0043,0.0274,0.0411,0.0225,0.0588,0.0876,0.059,0.1386,0.2767
West,Hybrid,800,2025,0.0108,0.0037,0.0236,0.034,0.0129,0.0523,0.074,0.0369,0.1317,0.3009
West,Gas,50,2020,0.108,0.0888,0.1257,0.1485,0.1278,0.1714,0.1734,0.1487,0.1956,0.3165
West,Gas,50,2021,0.1002,0.0865,0.1133,0.1403,0.1245,0.1547,0.1664,0.1454,0.1865,0.277
West,Gas,50,2022,0.0956,0.0813,0.1128,0.1365,0.1197,0.1566,0.1649,0.1494,0.1884,0.2586
West,Gas,50,2023,0.0874,0.053,0.1136,0.1275,0.0877,0.1614,0.1586,0.1196,0.1976,0.2672
West,Gas,50,2024,0.0728,0.0347,0.1027,0.1094,0.0636,0.1519,0.1414,0.0894,0.1929,0.292
West,Gas,50,2025,0.0534,0.0196,0.0839,0.0825,0.0393,0.1279,0.1116,0.0573,0.1711,0.3158
West,Gas,100,2020,0.0952,0.0742,0.1142,0.1374,0.1117,0.161,0.1636,0.1318,0.1901,0.3156
West,Gas,100,2021,0.0895,0.0698,0.1066,0.1308,0.1049,0.1511,0.1582,0.1265,0.1851,0.2803
West,Gas,100,2022,0.0839,0.0729,0.1002,0.1257,0.1056,0.147,0.1556,0.1278,0.1804,0.254
West,Gas,100,2023,0.0768,0.0494,0.1006,0.118,0.0835,0.1514,0.1508,0.1127,0.1878,0.2557
West,Gas,100,2024,0.0636,0.0315,0.089,0.1008,0.0583,0.1395,0.1337,0.0838,0.1842,0.2765
West,Gas,100,2025,0.0464,0.0174,0.0732,0.0762,0.0345,0.1187,0.1063,0.053,0.1666,0.298
West,Gas,200,2020,0.0779,0.0583,0.0997,0.119,0.0913,0.1434,0.1474,0.1153,0.1779,0.3244
West,Gas,200,2021,0.0774,0.0552,0.0965,0.1179,0.0863,0.1417,0.1473,0.111,0.1779,0.2889
West,Gas,200,2022,0.0737,0.0605,0.0933,0.1154,0.0908,0.1449,0.1474,0.1153,0.1839,0.2596
West,Gas,200,2023,0.0691,0.0466,0.0886,0.1101,0.0763,0.1423,0.1443,0.1071,0.1833,0.2514
West,Gas,200,2024,0.0571,0.0304,0.0787,0.0936,0.0528,0.1301,0.1268,0.0805,0.1747,0.2639
West,Gas,200,2025,0.0422,0.017,0.066,0.0717,0.0309,0.1121,0.102,0.0508,0.1593,0.2816
West,Gas,400,2020,0.0553,0.0426,0.0744,0.0935,0.0717,0.1143,0.125,0.0959,0.1507,0.3291
West,Gas,400,2021,0.0598,0.0409,0.0733,0.0979,0.069,0.1162,0.1301,0.0934,0.1569,0.2954
West,Gas,400,2022,0.0603,0.0472,0.0786,0.1,0.0784,0.1306,0.1345,0.1048,0.1742,0.2656
