region,tech,mw,entry_year,p_cod_3y_mean,p_cod_3y_lo90,p_cod_3y_hi90,p_cod_5y_mean,p_cod_5y_lo90,p_cod_5y_hi90,p_cod_7y_mean,p_cod_7y_lo90,p_cod_7y_hi90,p_withdrawn_5y_mean
SPP,Wind,800,2024,0.0101,0.0026,0.016,0.0302,0.0203,0.0402,0.0551,0.0432,0.0739,0.6465
SPP,Wind,800,2025,0.0084,0.0019,0.0146,0.0242,0.0149,0.0329,0.0444,0.0322,0.0625,0.6901
SPP,Battery,50,2020,0.0061,0.0024,0.0126,0.0417,0.0326,0.0556,0.069,0.0584,0.0824,0.5656
SPP,Battery,50,2021,0.0074,0.0026,0.0151,0.041,0.0331,0.0534,0.0668,0.0569,0.0805,0.5646
SPP,Battery,50,2022,0.0108,0.0035,0.0224,0.0426,0.0306,0.0637,0.068,0.0517,0.0915,0.594
SPP,Battery,50,2023,0.0167,0.0051,0.0356,0.0414,0.0239,0.0663,0.0629,0.0428,0.0896,0.6186
SPP,Battery,50,2024,0.0214,0.0062,0.047,0.0439,0.0253,0.0731,0.0645,0.0434,0.094,0.645
SPP,Battery,50,2025,0.0159,0.0044,0.0361,0.0323,0.0182,0.0559,0.0479,0.0324,0.0705,0.7177
SPP,Battery,100,2020,0.0044,0.0021,0.0088,0.0384,0.0308,0.0498,0.0675,0.0559,0.0792,0.5588
SPP,Battery,100,2021,0.0051,0.0022,0.0101,0.0371,0.031,0.0454,0.0652,0.0551,0.075,0.556
SPP,Battery,100,2022,0.0072,0.0029,0.0143,0.0378,0.0295,0.0515,0.0657,0.0537,0.0831,0.5846
SPP,Battery,100,2023,0.0116,0.0044,0.0209,0.036,0.024,0.0524,0.0605,0.0424,0.0812,0.6179
SPP,Battery,100,2024,0.0171,0.0048,0.0339,0.0398,0.024,0.0605,0.0629,0.0435,0.0832,0.6478
SPP,Battery,100,2025,0.0126,0.0032,0.0256,0.0283,0.0159,0.044,0.0446,0.0319,0.06,0.7314
SPP,Battery,200,2020,0.0037,0.0016,0.0078,0.0361,0.0293,0.0456,0.067,0.0545,0.0788,0.5534
SPP,Battery,200,2021,0.004,0.0018,0.0088,0.0343,0.0274,0.0423,0.0642,0.0517,0.0747,0.5505
SPP,Battery,200,2022,0.0054,0.0023,0.0116,0.0335,0.026,0.0433,0.0637,0.052,0.0782,0.5796
SPP,Battery,200,2023,0.0089,0.0037,0.016,0.0323,0.0224,0.0424,0.0591,0.0435,0.0784,0.62
SPP,Battery,200,2024,0.0147,0.0043,0.0266,0.0368,0.0234,0.0518,0.0613,0.044,0.0807,0.6498
SPP,Battery,200,2025,0.0108,0.0027,0.0198,0.0259,0.0142,0.0374,0.0431,0.0313,0.0585,0.7379
SPP,Battery,400,2020,0.0035,0.0016,0.0076,0.0354,0.0269,0.0457,0.0692,0.0552,0.0823,0.5463
SPP,Battery,400,2021,0.0036,0.0014,0.0082,0.0331,0.0252,0.0422,0.0653,0.0491,0.0785,0.5435
SPP,Battery,400,2022,0.0044,0.0018,0.0102,0.0311,0.0224,0.0412,0.0632,0.0461,0.0804,0.5688
SPP,Battery,400,2023,0.0076,0.0029,0.0145,0.0306,0.022,0.0392,0.0598,0.0451,0.079,0.6171
SPP,Battery,400,2024,0.013,0.0043,0.022,0.0348,0.023,0.0475,0.0612,0.0456,0.0802,0.6446
SPP,Battery,400,2025,0.0103,0.0026,0.018,0.0259,0.0138,0.0355,0.0449,0.0321,0.0622,0.729
SPP,Battery,800,2020,0.0035,0.0018,0.0073,0.0361,0.0261,0.0453,0.0731,0.0563,0.085,0.5389
SPP,Battery,800,2021,0.0035,0.0015,0.0078,0.0328,0.0232,0.0428,0.0675,0.0483,0.0821,0.5397
SPP,Battery,800,2022,0.004,0.0015,0.0095,0.0303,0.0205,0.0414,0.0645,0.0425,0.0836,0.5572
SPP,Battery,800,2023,0.0065,0.0027,0.013,0.0297,0.0232,0.0383,0.0616,0.0444,0.0821,0.6065
SPP,Battery,800,2024,0.0112,0.0041,0.018,0.033,0.0243,0.0427,0.062,0.0464,0.0805,0.6312
SPP,Battery,800,2025,0.0104,0.0027,0.0174,0.0269,0.0144,0.0358,0.0485,0.0329,0.0678,0.7094
SPP,Hybrid,50,2020,0.0068,0.0042,0.013,0.044,0.0327,0.0559,0.071,0.0569,0.0868,0.5503
SPP,Hybrid,50,2021,0.0079,0.0047,0.014,0.0429,0.0326,0.0556,0.0688,0.0539,0.0843,0.5701
SPP,Hybrid,50,2022,0.0111,0.0055,0.0189,0.0423,0.0305,0.0548,0.0666,0.0489,0.0827,0.6145
SPP,Hybrid,50,2023,0.0133,0.0037,0.0258,0.0352,0.0216,0.052,0.0547,0.0386,0.0745,0.6301
SPP,Hybrid,50,2024,0.0165,0.0038,0.034,0.0374,0.0202,0.0595,0.0566,0.0369,0.0781,0.6519
SPP,Hybrid,50,2025,0.0129,0.0027,0.0293,0.0294,0.0144,0.0493,0.0454,0.0295,0.0646,0.711
SPP,Hybrid,100,2020,0.0049,0.0028,0.0107,0.0409,0.03,0.0554,0.0699,0.0578,0.0863,0.5413
SPP,Hybrid,100,2021,0.0054,0.0029,0.0106,0.0385,0.028,0.0509,0.0668,0.0521,0.0821,0.5593
SPP,Hybrid,100,2022,0.008,0.0038,0.0138,0.0374,0.0287,0.0469,0.0643,0.05,0.0796,0.6094
SPP,Hybrid,100,2023,0.0104,0.0029,0.0193,0.0319,0.0205,0.0447,0.0533,0.0372,0.0717,0.626
SPP,Hybrid,100,2024,0.014,0.0035,0.0287,0.0352,0.0193,0.0548,0.0566,0.0363,0.0745,0.6482
SPP,Hybrid,100,2025,0.0108,0.0025,0.0236,0.0269,0.0136,0.0435,0.0441,0.0284,0.0605,0.7168
SPP,Hybrid,200,2020,0.0037,0.0019,0.009,0.0359,0.0266,0.0445,0.0676,0.0546,0.0788,0.539
SPP,Hybrid,200,2021,0.004,0.0021,0.0093,0.0329,0.0248,0.0407,0.0638,0.0509,0.0759,0.5532
SPP,Hybrid,200,2022,0.0056,0.0026,0.0108,0.0322,0.0254,0.0408,0.0622,0.0499,0.0787,0.6045
SPP,Hybrid,200,2023,0.0082,0.0026,0.015,0.0288,0.0199,0.0392,0.0525,0.0371,0.0733,0.6271
SPP,Hybrid,200,2024,0.0116,0.0033,0.0236,0.0321,0.0188,0.0476,0.0557,0.0366,0.0726,0.6514
SPP,Hybrid,200,2025,0.0089,0.0022,0.019,0.0241,0.0133,0.0375,0.0423,0.0286,0.0573,0.7249
SPP,Hybrid,400,2020,0.0032,0.0015,0.008,0.0336,0.025,0.0436,0.0691,0.0534,0.0814,0.5365
SPP,Hybrid,400,2021,0.0033,0.0015,0.0083,0.0298,0.0225,0.0358,0.0639,0.0489,0.0747,0.5467
SPP,Hybrid,400,2022,0.0043,0.0019,0.0098,0.0288,0.0239,0.037,0.0623,0.0474,0.0765,0.5907
SPP,Hybrid,400,2023,0.0068,0.0025,0.0126,0.0272,0.0207,0.0379,0.0541,0.0372,0.0763,0.6256
SPP,Hybrid,400,2024,0.01,0.0029,0.0208,0.0296,0.0193,0.0434,0.0548,0.0387,0.0708,0.6517
SPP,Hybrid,400,2025,0.0081,0.002,0.0173,0.0227,0.0131,0.035,0.0421,0.0285,0.0572,0.7251
SPP,Hybrid,800,2020,0.0032,0.0012,0.0077,0.0338,0.0238,0.0454,0.0731,0.0538,0.088,0.5306
SPP,Hybrid,800,2021,0.0032,0.0013,0.0077,0.03,0.0206,0.0387,0.0675,0.0475,0.0811,0.5386
SPP,Hybrid,800,2022,0.0038,0.0015,0.0091,0.0276,0.0209,0.0374,0.0639,0.0465,0.0787,0.5708
SPP,Hybrid,800,2023,0.0058,0.0021,0.0113,0.0263,0.0216,0.037,0.0575,0.0384,0.0782,0.6149
SPP,Hybrid,800,2024,0.009,0.0028,0.0198,0.0283,0.0199,0.0422,0.0558,0.0396,0.0688,0.6432
SPP,Hybrid,800,2025,0.0078,0.0019,0.0167,0.0225,0.013,0.0344,0.0436,0.0288,0.0584,0.7147
SPP,Gas,50,2020,0.1249,0.0962,0.1424,0.1681,0.1307,0.1911,0.1887,0.1472,0.2169,0.5339
SPP,Gas,50,2021,0.126,0.0974,0.1407,0.1662,0.1304,0.1933,0.1861,0.1469,0.2205,0.5274
SPP,Gas,50,2022,0.1285,0.0866,0.1506,0.1666,0.1182,0.2034,0.1862,0.1366,0.2321,0.5244
SPP,Gas,50,2023,0.1239,0.0667,0.1583,0.1598,0.095,0.1977,0.1798,0.1126,0.2266,0.5405
SPP,Gas,50,2024,0.0998,0.0434,0.153,0.1337,0.067,0.1864,0.1544,0.0846,0.2053,0.5619
SPP,Gas,50,2025,0.069,0.0224,0.1248,0.098,0.0429,0.1552,0.118,0.0581,0.1735,0.5994
SPP,Gas,100,2020,0.1009,0.0708,0.1228,0.1497,0.111,0.173,0.1731,0.1291,0.2035,0.53
SPP,Gas,100,2021,0.1031,0.0711,0.1205,0.1474,0.109,0.179,0.1694,0.1263,0.2096,0.5212
SPP,Gas,100,2022,0.1079,0.0597,0.1318,0.1493,0.0965,0.1877,0.171,0.1177,0.2206,0.5156
SPP,Gas,100,2023,0.1099,0.0546,0.1396,0.149,0.0888,0.1816,0.1718,0.1104,0.218,0.5236
SPP,Gas,100,2024,0.0921,0.039,0.1403,0.1289,0.0658,0.1765,0.1528,0.087,0.1958,0.5444
SPP,Gas,100,2025,0.0641,0.0208,0.1151,0.0951,0.0423,0.1476,0.1177,0.0605,0.165,0.5832
SPP,Gas,200,2020,0.0796,0.0523,0.1049,0.1331,0.1006,0.164,0.1598,0.1219,0.1999,0.5233
SPP,Gas,200,2021,0.0823,0.0491,0.1063,0.1294,0.09,0.1679,0.1538,0.1093,0.2029,0.5141
SPP,Gas,200,2022,0.091,0.0457,0.117,0.1342,0.0834,0.1764,0.158,0.1052,0.2129,0.5068
SPP,Gas,200,2023,0.098,0.0417,0.1231,0.1396,0.0765,0.1788,0.1652,0.0997,0.2211,0.5069
SPP,Gas,200,2024,0.0849,0.0357,0.1275,0.1241,0.0655,0.1663,0.1515,0.0891,0.195,0.5259
SPP,Gas,200,2025,0.0596,0.0214,0.1066,0.092,0.0441,0.1406,0.1175,0.064,0.1598,0.5664
SPP,Gas,400,2020,0.0579,0.0336,0.0867,0.1141,0.0795,0.1526,0.1462,0.1065,0.1958,0.5188
SPP,Gas,400,2021,0.0614,0.033,0.0845,0.1103,0.0717,0.149,0.1387,0.093,0.1908,0.5122
SPP,Gas,400,2022,0.072,0.0391,0.0981,0.1162,0.075,0.1621,0.1431,0.0937,0.2027,0.5031
SPP,Gas,400,2023,0.0823,0.0354,0.1094,0.1249,0.0681,0.1745,0.1537,0.0911,0.2216,0.4966
SPP,Gas,400,2024,0.076,0.0318,0.1124,0.1162,0.0621,0.1519,0.1471,0.0872,0.1972,0.5108
SPP,Gas,400,2025,0.0547,0.0204,0.0962,0.0879,0.0442,0.1308,0.1164,0.0649,0.1557,0.5517
SPP,Gas,800,2020,0.0442,0.0229,0.0715,0.1046,0.068,0.1415,0.1443,0.0983,0.1907,0.5133
SPP,Gas,800,2021,0.0453,0.0207,0.0681,0.0961,0.0562,0.138,0.1301,0.081,0.1815,0.5089
SPP,Gas,800,2022,0.0542,0.0262,0.0861,0.0991,0.0574,0.1506,0.1304,0.079,0.195,0.504
SPP,Gas,800,2023,0.0645,0.0339,0.0971,0.1072,0.0651,0.1626,0.14,0.0889,0.2139,0.4953
SPP,Gas,800,2024,0.0654,0.0302,0.0991,0.1056,0.0602,0.1446,0.1401,0.0865,0.1969,0.5016
SPP,Gas,800,2025,0.0511,0.021,0.083,0.0854,0.0462,0.1227,0.117,0.069,0.1552,0.5347
